Name^Team^Position^Heigth^Weigth^Age
Adam Donachie^BAL^Point Guard^78.27^171.00^32.989999999999995
Paul Bako^BAL^Point Guard^78.27^204.25^44.69
Ramon Hernandez^BAL^Point Guard^76.15^199.50^40.78
Kevin Millar^BAL^Center^76.15^199.50^45.43
Chris Gomez^BAL^Center^77.21^178.60^45.71
Brian Roberts^BAL^Small Forward^72.98^167.20^39.39
Miguel Tejada^BAL^Power Forward^72.98^198.55^40.769999999999996
Melvin Mora^BAL^Small Forward^75.10^190.00^45.07
Aubrey Huff^BAL^Small Forward^80.38^219.45^40.19
Adam Stern^BAL^Shooting Guard^75.10^171.00^37.05
Jeff Fiorentino^BAL^Shooting Guard^77.21^178.60^33.879999999999995
Freddie Bynum^BAL^Shooting Guard^77.21^171.00^36.96
Nick Markakis^BAL^Shooting Guard^78.27^175.75^33.29
Brandon Fahey^BAL^Shooting Guard^78.27^152.00^36.11
Corey Patterson^BAL^Shooting Guard^72.98^171.00^37.55
Jay Payton^BAL^Shooting Guard^74.04^175.75^44.27
Jay Gibbons^BAL^Small Forward^76.15^187.15^40.0
Erik Bedard^BAL^Point Guard^77.21^179.55^37.989999999999995
Hayden Penn^BAL^Point Guard^79.33^175.75^32.379999999999995
Adam Loewen^BAL^Point Guard^82.50^208.05^32.89
Daniel Cabrera^BAL^Point Guard^83.56^218.50^35.760000000000005
Steve Trachsel^BAL^Point Guard^80.38^194.75^46.33
Jaret Wright^BAL^Point Guard^78.27^218.50^41.17
Kris Benson^BAL^Point Guard^80.38^185.25^42.31
Scott Williamson^BAL^Center^76.15^171.00^41.03
John Parrish^BAL^Center^75.10^182.40^39.260000000000005
Danys Baez^BAL^Center^79.33^213.75^39.47
Chad Bradford^BAL^Center^81.44^192.85^42.46
Jamie Walker^BAL^Center^78.27^185.25^45.67
Brian Burres^BAL^Center^77.21^172.90^35.89
Kurt Birkins^BAL^Center^78.27^178.60^36.55
James Hoey^BAL^Center^82.50^190.00^34.17
Sendy Rleal^BAL^Center^77.21^171.00^36.69
Chris Ray^BAL^Center^79.33^190.00^35.129999999999995
Jeremy Guthrie^BAL^Center^77.21^190.00^37.9
A.J. Pierzynski^CWS^Point Guard^79.33^232.75^40.17
Toby Hall^CWS^Point Guard^79.33^228.00^41.36
Paul Konerko^CWS^Center^78.27^204.25^40.989999999999995
Tadahito Iguchi^CWS^Small Forward^72.98^175.75^42.24
Juan Uribe^CWS^Power Forward^75.10^166.25^37.61
Alex Cintron^CWS^Power Forward^78.27^189.05^38.2
Joe Crede^CWS^Small Forward^77.21^190.00^38.85
Josh Fields^CWS^Small Forward^77.21^204.25^34.21
Ryan Sweeney^CWS^Shooting Guard^80.38^190.00^32.019999999999996
Brian N. Anderson^CWS^Shooting Guard^78.27^194.75^34.97
Luis Terrero^CWS^Shooting Guard^78.27^195.70^36.78
Pablo Ozuna^CWS^Shooting Guard^74.04^176.70^42.51
Scott Podsednik^CWS^Shooting Guard^76.15^178.60^40.95
Jermaine Dye^CWS^Shooting Guard^81.44^209.00^43.09
Darin Erstad^CWS^Shooting Guard^78.27^199.50^42.74
Rob Mackowiak^CWS^Shooting Guard^74.04^185.25^40.69
Jim Thome^CWS^Small Forward^80.38^231.80^46.51
Jerry Owens^CWS^Small Forward^79.33^185.25^36.03
Charlie Haeger^CWS^Point Guard^77.21^190.00^33.45
Heath Phillips^CWS^Point Guard^79.33^190.00^34.94
Gavin Floyd^CWS^Point Guard^80.38^201.40^34.09
Jose Contreras^CWS^Point Guard^80.38^212.80^45.23
Jon Garland^CWS^Point Guard^82.50^199.50^37.43
Javier Vazquez^CWS^Point Guard^78.27^194.75^40.6
Mark Buehrle^CWS^Point Guard^78.27^209.00^37.94
Mike MacDougal^CWS^Center^80.38^185.25^39.989999999999995
David Aardsma^CWS^Center^81.44^190.00^35.17
Andrew Sisco^CWS^Center^85.67^247.00^34.129999999999995
Matt Thornton^CWS^Center^82.50^216.60^40.46
Bobby Jenks^CWS^Center^79.33^256.50^35.96
Boone Logan^CWS^Center^81.44^190.00^32.55
Sean Tracey^CWS^Center^79.33^199.50^36.29
Nick Masset^CWS^Center^80.38^180.50^34.79
Jose Molina^ANA^Point Guard^78.27^209.00^41.739999999999995
Jeff Mathis^ANA^Point Guard^76.15^171.00^33.92
Mike Napoli^ANA^Point Guard^76.15^194.75^35.33
Casey Kotchman^ANA^Center^79.33^199.50^34.019999999999996
Kendry Morales^ANA^Center^77.21^209.00^33.7
Shea Hillenbrand^ANA^Center^77.21^200.45^41.59
Robb Quinlan^ANA^Center^77.21^190.00^39.95
Howie Kendrick^ANA^Center^74.04^171.00^33.64
Orlando Cabrera^ANA^Power Forward^74.04^180.50^42.33
Erick Aybar^ANA^Power Forward^74.04^161.50^33.129999999999995
Dallas McPherson^ANA^Small Forward^80.38^218.50^36.6
Maicer Izturis^ANA^Small Forward^71.92^147.25^36.46
Reggie Willits^ANA^Shooting Guard^75.10^175.75^35.75
Tommy Murphy^ANA^Shooting Guard^76.15^175.75^37.510000000000005
Terry Evans^ANA^Shooting Guard^79.33^190.00^35.11
Gary Matthews Jr.^ANA^Shooting Guard^79.33^213.75^42.51
Garret Anderson^ANA^Shooting Guard^79.33^213.75^44.67
Vladimir Guerrero^ANA^Shooting Guard^79.33^209.00^41.06
Chone Figgins^ANA^Shooting Guard^71.92^152.00^39.1
Juan Rivera^ANA^Shooting Guard^78.27^194.75^38.66
John Lackey^ANA^Point Guard^82.50^223.25^38.35
Bartolo Colon^ANA^Point Guard^75.10^237.50^43.77
Kelvim Escobar^ANA^Point Guard^77.21^199.50^40.89
Dustin Moseley^ANA^Point Guard^80.38^180.50^47.74
Ervin Santana^ANA^Point Guard^78.27^152.00^34.14
Joe Saunders^ANA^Point Guard^78.27^190.00^35.71
Jered Weaver^ANA^Point Guard^83.56^194.75^34.41
Chris Resop^ANA^Center^79.33^210.90^34.32
Phil Seibel^ANA^Center^77.21^185.25^38.09
Justin Speier^ANA^Center^80.38^194.75^43.31
Darren Oliver^ANA^Center^78.27^209.00^46.4
Hector Carrasco^ANA^Center^78.27^209.00^47.36
Scot Shields^ANA^Center^77.21^161.50^41.61
Francisco Rodriguez^ANA^Center^76.15^175.75^35.14
Greg Jones^ANA^Center^78.27^185.25^40.29
Doug Mirabelli^BOS^Point Guard^77.21^209.00^46.37
Jason Varitek^BOS^Point Guard^78.27^218.50^44.89
George Kottaras^BOS^Point Guard^76.15^171.00^33.79
Kevin Youkilis^BOS^Center^77.21^209.00^37.96
Dustin Pedroia^BOS^Small Forward^72.98^171.00^33.54
Alex Cora^BOS^Power Forward^76.15^171.00^41.370000000000005
Julio Lugo^BOS^Power Forward^77.21^161.50^41.29
Mike Lowell^BOS^Small Forward^79.33^199.50^43.01
Wily Mo Pe?a^BOS^Shooting Guard^79.33^204.25^35.1
J.D. Drew^BOS^Shooting Guard^77.21^190.00^41.28
Manny Ramirez^BOS^Shooting Guard^76.15^202.35^44.75
Brandon Moss^BOS^Shooting Guard^76.15^171.00^33.46
David Murphy^BOS^Shooting Guard^80.38^182.40^35.370000000000005
Eric Hinske^BOS^Shooting Guard^78.27^223.25^39.57
Coco Crisp^BOS^Shooting Guard^76.15^175.75^37.33
David Ortiz^BOS^Small Forward^80.38^218.50^41.28
Curt Schilling^BOS^Point Guard^81.44^223.25^50.29
Tim Wakefield^BOS^Point Guard^78.27^199.50^50.58
Josh Beckett^BOS^Point Guard^81.44^210.90^36.79
Matt Clement^BOS^Point Guard^79.33^199.50^42.55
Jonathan Papelbon^BOS^Point Guard^80.38^218.50^36.269999999999996
Kyle Snyder^BOS^Point Guard^84.62^209.00^39.47
Devern Hansack^BOS^Point Guard^78.27^171.00^39.07
Jon Lester^BOS^Point Guard^78.27^180.50^33.15
Kason Gabbard^BOS^Point Guard^79.33^190.00^34.9
Craig Hansen^BOS^Center^82.50^199.50^33.29
Hideki Okajima^BOS^Center^77.21^184.30^41.18
Craig Breslow^BOS^Center^77.21^171.00^36.56
Manny Delcarmen^BOS^Center^78.27^180.50^35.03
Brendan Donnelly^BOS^Center^79.33^228.00^45.66
Javier Lopez^BOS^Center^80.38^190.00^39.64
J.C. Romero^BOS^Center^75.10^188.10^40.739999999999995
Joel Pineiro^BOS^Center^77.21^190.00^38.43
Julian Tavarez^BOS^Center^78.27^185.25^43.77
Mike Timlin^BOS^Center^80.38^199.50^50.97
Nick DeBarr^BOS^Center^80.38^209.00^33.519999999999996
Victor Martinez^CLE^Point Guard^78.27^180.50^38.19
Kelly Shoppach^CLE^Point Guard^77.21^199.50^36.84
Ryan Garko^CLE^Center^78.27^213.75^36.16
Joe Inglett^CLE^Small Forward^74.04^171.00^38.67
Josh Barfield^CLE^Small Forward^76.15^175.75^34.2
Hector Luna^CLE^Small Forward^77.21^161.50^37.08
Jhonny Peralta^CLE^Power Forward^77.21^175.75^34.760000000000005
Andy Marte^CLE^Small Forward^77.21^175.75^33.36
Ben Francisco^CLE^Shooting Guard^77.21^171.00^35.35
Shin-Soo Choo^CLE^Shooting Guard^75.10^169.10^34.629999999999995
Franklin Gutierrez^CLE^Shooting Guard^78.27^166.25^34.019999999999996
Grady Sizemore^CLE^Shooting Guard^78.27^190.00^34.58
Jason Michaels^CLE^Shooting Guard^76.15^193.80^40.82
Trot Nixon^CLE^Shooting Guard^78.27^200.45^42.89
David Dellucci^CLE^Shooting Guard^75.10^180.50^43.33
Casey Blake^CLE^Shooting Guard^78.27^199.50^43.52
Travis Hafner^CLE^Small Forward^79.33^228.00^39.739999999999995
Paul Byrd^CLE^Point Guard^77.21^180.50^46.24
Cliff Lee^CLE^Point Guard^79.33^180.50^38.5
Jake Westbrook^CLE^Point Guard^79.33^175.75^39.42
C.C. Sabathia^CLE^Point Guard^83.56^275.50^36.61
Jeremy Sowers^CLE^Point Guard^77.21^166.25^33.79
Rafael Perez^CLE^Center^79.33^175.75^34.96
Brian Slocum^CLE^Center^80.38^190.00^35.93
Edward Mujica^CLE^Center^78.27^209.00^32.81
Fernando Cabrera^CLE^Center^80.38^161.50^35.29
Tom Mastny^CLE^Center^82.50^209.00^36.07
Juan Lara^CLE^Center^78.27^180.50^36.09
Fausto Carmona^CLE^Center^80.38^209.00^33.230000000000004
Aaron Fultz^CLE^Center^76.15^194.75^43.49
Rafael Betancourt^CLE^Center^78.27^190.00^41.84
Roberto Hernandez^CLE^Center^80.38^237.50^52.3
Joe Borowski^CLE^Center^78.27^213.75^45.82
Matt Miller^CLE^Center^79.33^204.25^45.27
Jason Davis^CLE^Center^82.50^199.50^36.81
Mike Piazza^OAK^Point Guard^79.33^204.25^48.49
Jason Kendall^OAK^Point Guard^76.15^185.25^42.68
Adam Melhuse^OAK^Point Guard^78.27^190.00^44.93
Nick Swisher^OAK^Center^76.15^184.30^36.260000000000005
Dan Johnson^OAK^Center^78.27^209.00^37.56
Donald Murphy^OAK^Small Forward^74.04^171.00^33.980000000000004
Mark Ellis^OAK^Small Forward^75.10^171.00^39.730000000000004
Marco Scutaro^OAK^Power Forward^74.04^161.50^41.33
Bobby Crosby^OAK^Power Forward^79.33^185.25^37.129999999999995
Mark Kiger^OAK^Power Forward^75.10^171.00^36.75
Antonio Perez^OAK^Small Forward^75.10^161.50^37.09
Eric Chavez^OAK^Small Forward^77.21^195.70^39.230000000000004
Milton Bradley^OAK^Shooting Guard^76.15^194.75^38.879999999999995
Shannon Stewart^OAK^Shooting Guard^75.10^190.00^43.01
Bobby Kielty^OAK^Shooting Guard^77.21^213.75^40.57
Mark Kotsay^OAK^Shooting Guard^76.15^190.95^41.239999999999995
Ryan Goleski^OAK^Shooting Guard^79.33^213.75^34.95
Jeremy Brown^OAK^Small Forward^74.04^214.70^37.35
Jason Windsor^OAK^Point Guard^78.27^221.35^34.620000000000005
David Shafer^OAK^Point Guard^78.27^171.00^34.980000000000004
Joe Blanton^OAK^Point Guard^79.33^213.75^36.22
Brad Halsey^OAK^Point Guard^77.21^171.00^36.04
Dan Haren^OAK^Point Guard^81.44^209.00^36.45
Rich Harden^OAK^Point Guard^77.21^171.00^35.25
Joe Kennedy^OAK^Point Guard^80.38^225.15^37.769999999999996
Esteban Loaiza^OAK^Point Guard^79.33^204.25^45.16
Alan Embree^OAK^Center^78.27^180.50^47.1
Jay Witasick^OAK^Center^80.38^223.25^44.51
Justin Duchscherer^OAK^Center^79.33^180.50^39.28
Kiko Calero^OAK^Center^77.21^171.00^42.14
Chad Gaudin^OAK^Center^75.10^156.75^33.94
Lenny DiNardo^OAK^Center^80.38^185.25^37.45
Scott Dunn^OAK^Center^79.33^190.00^38.769999999999996
Huston Street^OAK^Center^76.15^180.50^33.58
Ron Flores^OAK^Center^75.10^180.50^37.56
Jay Marshall^OAK^Center^81.44^175.75^34.010000000000005
Marcus McBeth^OAK^Center^77.21^175.75^36.519999999999996
Jorge Posada^NYY^Point Guard^78.27^194.75^45.54
Wil Nieves^NYY^Point Guard^75.10^180.50^39.43
Andy Phillips^NYY^Center^76.15^194.75^39.9
Doug Mientkiewicz^NYY^Center^78.27^195.70^42.7
Josh Phelps^NYY^Center^79.33^209.00^38.8
Miguel Cairo^NYY^Small Forward^77.21^197.60^42.82
Robinson Cano^NYY^Small Forward^76.15^161.50^34.36
Derek Jeter^NYY^Power Forward^79.33^185.25^42.68
Alex Rodriguez^NYY^Small Forward^79.33^199.50^41.59
Johnny Damon^NYY^Shooting Guard^78.27^180.50^43.32
Bobby Abreu^NYY^Shooting Guard^76.15^200.45^42.97
Hideki Matsui^NYY^Shooting Guard^78.27^218.50^42.72
Melky Cabrera^NYY^Shooting Guard^75.10^161.50^32.55
Kevin Thompson^NYY^Shooting Guard^74.04^175.75^37.45
Jason Giambi^NYY^Small Forward^79.33^218.50^46.14
Mike Mussina^NYY^Point Guard^78.27^175.75^48.23
Carl Pavano^NYY^Point Guard^81.44^228.95^41.14
Andy Pettitte^NYY^Point Guard^81.44^213.75^44.71
Darrell Rasner^NYY^Point Guard^79.33^199.50^36.129999999999995
Jeff Karstens^NYY^Point Guard^79.33^166.25^34.43
Humberto Sanchez^NYY^Point Guard^82.50^218.50^33.760000000000005
Chien-Ming Wang^NYY^Point Guard^79.33^190.00^36.92
Sean Henn^NYY^Center^80.38^204.25^35.85
Scott Proctor^NYY^Center^77.21^188.10^40.16
Brian Bruney^NYY^Center^79.33^214.70^35.03
Chris Britton^NYY^Center^79.33^264.10^34.21
T.J. Beam^NYY^Center^83.56^204.25^36.510000000000005
Jose Veras^NYY^Center^81.44^218.50^36.36
Kyle Farnsworth^NYY^Center^80.38^228.00^40.879999999999995
Luis Vizcaino^NYY^Center^75.10^174.80^42.57
Mike Myers^NYY^Center^79.33^208.05^47.68
Mariano Rivera^NYY^Center^78.27^161.50^47.25
Ivan Rodriguez^DET^Point Guard^72.98^207.10^45.25
Vance Wilson^DET^Point Guard^75.10^180.50^43.95
Sean Casey^DET^Center^80.38^213.75^42.66
Chris Shelton^DET^Center^76.15^209.00^36.68
Omar Infante^DET^Small Forward^76.15^167.20^35.18
Placido Polanco^DET^Small Forward^74.04^180.50^41.39
Neifi Perez^DET^Small Forward^76.15^187.15^43.74
Carlos Guillen^DET^Power Forward^77.21^193.80^41.42
Ramon Santiago^DET^Power Forward^75.10^158.65^37.5
Tony Giarratano^DET^Power Forward^76.15^171.00^34.25
Brandon Inge^DET^Small Forward^75.10^185.25^39.78
Craig Monroe^DET^Shooting Guard^77.21^209.00^40.0
Magglio Ordo?ez^DET^Shooting Guard^76.15^204.25^43.09
Curtis Granderson^DET^Shooting Guard^77.21^175.75^35.96
Brent Clevlen^DET^Shooting Guard^78.27^180.50^33.34
Marcus Thames^DET^Shooting Guard^78.27^194.75^39.980000000000004
Gary Sheffield^DET^Shooting Guard^76.15^194.75^48.28
Mike Rabelo^DET^Small Forward^77.21^190.00^37.120000000000005
Zach Miner^DET^Point Guard^79.33^190.00^34.97
Jeremy Bonderman^DET^Point Guard^78.27^199.50^34.34
Nate Robertson^DET^Point Guard^78.27^204.25^39.489999999999995
Justin Verlander^DET^Point Guard^81.44^190.00^34.019999999999996
Virgil Vasquez^DET^Point Guard^79.33^194.75^34.730000000000004
Kenny Rogers^DET^Point Guard^77.21^200.45^52.3
Mike Maroth^DET^Point Guard^76.15^180.50^39.54
Fernando Rodney^DET^Center^75.10^197.60^39.95
Chad Durbin^DET^Center^78.27^190.00^39.239999999999995
Jason Grilli^DET^Center^81.44^199.50^40.3
Jose Mesa^DET^Center^79.33^220.40^50.77
Todd Jones^DET^Center^79.33^218.50^48.85
Joel Zumaya^DET^Center^79.33^199.50^32.31
Jordan Tata^DET^Center^82.50^209.00^35.44
Andrew Miller^DET^Center^82.50^199.50^31.78
Yorman Bazardo^DET^Center^78.27^191.90^32.64
Wilfredo Ledezma^DET^Center^80.38^201.40^36.11
Roman Colon^DET^Center^82.50^213.75^37.55
Edward Campusano^DET^Center^80.38^161.50^34.629999999999995
Rene Rivera^SEA^Point Guard^74.04^180.50^33.58
Kenji Johjima^SEA^Point Guard^76.15^190.00^40.730000000000004
Richie Sexson^SEA^Center^84.62^225.15^42.17
Ben Broussard^SEA^Center^78.27^209.00^40.43
Jose Lopez^SEA^Small Forward^78.27^161.50^33.269999999999996
Jose Vidro^SEA^Small Forward^75.10^183.35^42.51
Yuniesky Betancourt^SEA^Power Forward^74.04^180.50^35.08
Oswaldo Navarro^SEA^Power Forward^76.15^142.50^32.41
Adrian Beltre^SEA^Small Forward^75.10^209.00^37.9
Raul Ibanez^SEA^Shooting Guard^78.27^190.00^44.74
Jose Guillen^SEA^Shooting Guard^75.10^180.50^40.79
Jeremy Reed^SEA^Shooting Guard^76.15^175.75^35.71
Willie Bloomquist^SEA^Shooting Guard^75.10^175.75^39.260000000000005
Adam Jones^SEA^Shooting Guard^78.27^190.00^31.58
Ichiro Suzuki^SEA^Shooting Guard^72.98^163.40^43.36
Mike Morse^SEA^Shooting Guard^80.38^209.00^34.94
Felix Hernandez^SEA^Point Guard^79.33^213.75^30.9
Ryan Feierabend^SEA^Point Guard^79.33^180.50^31.52
Sean White^SEA^Point Guard^80.38^185.25^35.85
Horacio Ramirez^SEA^Point Guard^77.21^208.05^37.269999999999996
Cha Baek^SEA^Point Guard^80.38^180.50^36.75
Miguel Batista^SEA^Point Guard^77.21^187.15^46.03
Jeff Weaver^SEA^Point Guard^81.44^190.00^40.519999999999996
Jarrod Washburn^SEA^Point Guard^77.21^185.25^42.55
George Sherrill^SEA^Center^76.15^199.50^39.86
Julio Mateo^SEA^Center^76.15^168.15^39.58
J.J. Putz^SEA^Center^81.44^209.00^40.019999999999996
Chris Reitsma^SEA^Center^81.44^223.25^39.16
Cesar Jimenez^SEA^Center^75.10^171.00^32.3
Eric O'Flaherty^SEA^Center^78.27^185.25^32.06
Jon Huber^SEA^Center^78.27^185.25^35.65
Jake Woods^SEA^Center^77.21^180.50^35.489999999999995
Sean Green^SEA^Center^82.50^218.50^37.86
Mark Lowe^SEA^Center^79.33^180.50^33.730000000000004
Josh Paul^TB^Point Guard^77.21^190.00^41.78
Dioner Navarro^TB^Point Guard^74.04^180.50^33.06
Shawn Riggans^TB^Point Guard^78.27^180.50^36.6
Ty Wigginton^TB^Center^76.15^190.00^39.39
Brendan Harris^TB^Small Forward^77.21^190.00^36.510000000000005
Jorge Cantu^TB^Small Forward^77.21^174.80^35.08
Ben Zobrist^TB^Power Forward^79.33^190.00^35.760000000000005
B.J. Upton^TB^Small Forward^79.33^171.00^32.519999999999996
Carl Crawford^TB^Shooting Guard^78.27^208.05^35.57
Rocco Baldelli^TB^Shooting Guard^80.38^177.65^35.43
Greg Norton^TB^Shooting Guard^77.21^190.00^44.65
Elijah Dukes^TB^Shooting Guard^78.27^209.00^32.68
Delmon Young^TB^Shooting Guard^79.33^194.75^31.46
Jonny Gomes^TB^Small Forward^77.21^194.75^36.269999999999996
Edwin Jackson^TB^Point Guard^79.33^180.50^33.47
Scott Kazmir^TB^Point Guard^76.15^161.50^33.1
Casey Fossum^TB^Point Guard^77.21^152.00^39.14
Jae Seo^TB^Point Guard^77.21^204.25^39.769999999999996
J.P. Howell^TB^Point Guard^76.15^166.25^33.85
Tim Corcoran^TB^Point Guard^78.27^194.75^38.879999999999995
Jason Hammel^TB^Point Guard^82.50^190.00^34.489999999999995
James Shields^TB^Point Guard^80.38^203.30^35.19
Brian Stokes^TB^Point Guard^77.21^190.00^37.480000000000004
